Name,Gender,Ethnicity,University,Specialty,Experience,GPA,Publications,InterviewScore,Hired
Thomas Robinson,Male,Other,UNN,Human Rights,Junior,3.92,1,6.5,0
Mary Estes,Male,Fulani,LASU,Family,Senior,3.22,1,5.2,0
Keith Logan,Female,Yoruba,UNIBEN,Corporate,Junior,4.07,3,6.5,0
Laura Dunn,Male,Yoruba,UNILAG,Human Rights,Senior,3.95,3,8.8,1
Tony Sparks,Female,Igbo,Covenant,Tax,Senior,4.42,0,7.9,1
Mary Diaz,Female,Other,LASU,Criminal,Mid-level,3.7,1,2.8,0
Bradley Williams,Female,Other,Babcock,Tax,Junior,4.04,2,8.3,1
Robin Clements,Female,Tiv,Other,Intellectual Property,Senior,3.36,1,2.1,0
Jeremy Phillips,Male,Fulani,UNIBEN,Human Rights,Junior,3.54,1,1.8,0
Andrea Fox,Female,Yoruba,UNN,Tax,Senior,3.69,1,4.7,0
Kenneth Murphy,Female,Yoruba,UI,Criminal,Mid-level,4.41,0,2.7,0
Angel Reyes,Male,Tiv,UNIBEN,Criminal,Senior,4.2,1,5.9,0
James Banks,Female,Igbo,UI,Intellectual Property,Mid-level,3.88,0,1.9,0
Scott Cunningham,Female,Yoruba,UNILAG,Family,Mid-level,4.01,3,8.4,1
Roger Simmons,Male,Ijaw,LASU,Intellectual Property,Junior,3.31,2,7.5,0
Barbara Smith,Male,Ijaw,ABU Zaria,Family,Junior,3.58,0,5.2,0
Erik Johnson,Male,Fulani,Covenant,Corporate,Mid-level,4.58,2,4.6,0
Emily Carey,Female,Hausa,Other,Corporate,Mid-level,3.33,2,2.8,0
Dustin Day,Female,Tiv,ABU Zaria,Family,Junior,3.64,2,9.5,1
Mr. Christopher Barnes,Male,Tiv,UNN,Human Rights,Mid-level,4.32,1,6.1,0
Brittney Raymond,Female,Hausa,UNN,Family,Senior,4.05,1,2.6,0
Marcus Rivas,Female,Yoruba,Babcock,Family,Junior,3.12,0,7.9,0
Mark Day,Male,Other,LASU,Family,Junior,3.67,0,4.3,0
James Cooper,Female,Igbo,UNN,Intellectual Property,Mid-level,4.77,0,9.0,1
James Anderson,Female,Igbo,UNN,Human Rights,Junior,3.66,1,2.8,0
Matthew Farrell,Female,Igbo,UNILAG,Intellectual Property,Junior,3.95,1,5.3,0
Justin Rivera,Male,Ijaw,UNIBEN,Intellectual Property,Junior,3.84,0,5.5,0
Heather Russell,Male,Fulani,UNN,Corporate,Senior,3.94,0,3.8,0
Angela Mccormick,Female,Hausa,UNILAG,Intellectual Property,Mid-level,2.85,2,9.9,1
Dr. Lisa Jacobson,Male,Fulani,Other,Criminal,Senior,2.65,1,4.1,0
Jacob Davis,Male,Ijaw,UNILAG,Tax,Mid-level,3.5,0,3.3,0
Destiny Miller,Male,Fulani,Other,Family,Senior,4.66,0,7.9,1
Michael Little,Male,Igbo,LASU,Family,Mid-level,4.86,2,1.4,0
Robert Gutierrez,Male,Other,UI,Corporate,Junior,3.63,0,4.3,0
Jennifer Freeman,Female,Yoruba,LASU,Family,Mid-level,4.12,2,7.9,1
Ashley Clay,Female,Igbo,Covenant,Intellectual Property,Junior,4.08,1,9.3,1
Samuel Schwartz,Male,Other,UNIBEN,Corporate,Junior,4.3,1,4.0,0
John Hughes,Female,Other,UI,Tax,Senior,4.21,1,2.1,0
Peter Santiago,Male,Hausa,UNIBEN,Tax,Junior,3.45,0,1.2,0
Lindsey Coleman,Female,Yoruba,Other,Tax,Senior,3.86,2,8.8,1
Alicia Moran,Female,Ijaw,Other,Family,Junior,3.72,2,6.7,0
Paula Thompson,Female,Other,ABU Zaria,Intellectual Property,Mid-level,3.55,1,1.3,0
Karina Osborne DVM,Male,Yoruba,Other,Human Rights,Mid-level,5.08,4,7.8,1
Joshua Harris,Male,Ijaw,UNN,Criminal,Mid-level,4.5,1,8.0,1
Melissa Owen,Female,Hausa,Other,Human Rights,Senior,3.42,1,6.5,0
Charles Collins,Female,Hausa,UI,Family,Senior,4.15,0,7.7,0
Brandi Harris,Male,Hausa,UNIBEN,Human Rights,Junior,4.13,2,3.3,0
Allison Gutierrez,Female,Tiv,Babcock,Corporate,Senior,3.82,0,7.8,0
Breanna Russell,Female,Tiv,Covenant,Criminal,Mid-level,3.4,2,2.3,0
Robert Collier,Male,Other,Other,Intellectual Property,Senior,4.71,0,2.6,0
Robert Perez,Male,Ijaw,UNILAG,Human Rights,Senior,3.78,1,4.2,0
Anthony Carter,Female,Tiv,ABU Zaria,Criminal,Mid-level,2.81,1,6.2,0
Jennifer Briggs,Male,Fulani,UNN,Corporate,Senior,3.76,2,9.6,1
Troy Baker,Female,Igbo,UI,Corporate,Senior,4.7,1,6.7,0
Adam Mccoy,Female,Tiv,ABU Zaria,Corporate,Mid-level,4.3,1,3.5,0
Frank Jackson,Male,Fulani,LASU,Criminal,Junior,3.46,1,7.6,0
Jacob Nguyen,Male,Tiv,ABU Zaria,Corporate,Junior,4.67,0,8.0,1
Colleen Larsen,Male,Other,Babcock,Tax,Mid-level,3.83,1,7.1,0
Christopher Escobar,Male,Igbo,UNILAG,Criminal,Mid-level,3.54,2,9.2,1
Kelly Walker,Male,Igbo,LASU,Intellectual Property,Junior,3.84,0,2.5,0
David Davis,Male,Other,UNILAG,Tax,Junior,4.16,1,4.0,0
Cory Dickerson,Female,Fulani,ABU Zaria,Tax,Mid-level,4.05,1,5.7,0
Michael Miller,Female,Ijaw,Babcock,Intellectual Property,Junior,4.81,2,4.1,0
Catherine Ryan,Female,Other,UNILAG,Family,Mid-level,4.58,1,2.5,0
Martha Mccormick,Male,Hausa,LASU,Criminal,Mid-level,3.58,1,4.8,0
Blake Dennis,Female,Yoruba,Babcock,Corporate,Senior,3.62,0,6.8,0
Cassie Hernandez,Male,Ijaw,UNILAG,Criminal,Mid-level,2.9,0,2.3,0
Charles Washington,Female,Tiv,UI,Criminal,Mid-level,3.73,0,9.4,1
James Brown,Female,Other,ABU Zaria,Corporate,Junior,3.99,0,6.3,0
Stacy Harding,Female,Tiv,Other,Tax,Mid-level,4.51,1,6.6,0
Robert Carpenter,Male,Hausa,UNIBEN,Family,Senior,4.08,0,5.2,0
Gerald Warner,Female,Igbo,Babcock,Family,Junior,3.57,1,1.2,0
Jillian Peters,Male,Hausa,UNN,Family,Senior,3.11,0,2.2,0
Maria Riggs,Male,Ijaw,UNILAG,Family,Senior,4.15,0,8.3,1
Angela Hudson,Male,Other,Other,Intellectual Property,Mid-level,4.28,1,8.8,1
Michael Obrien,Male,Yoruba,ABU Zaria,Criminal,Mid-level,4.26,0,3.9,0
Tara Wang,Female,Hausa,ABU Zaria,Human Rights,Mid-level,4.6,2,5.7,0
Sheila Downs,Female,Other,UNN,Corporate,Mid-level,3.83,2,7.7,0
Jeremy Santos,Male,Other,ABU Zaria,Human Rights,Junior,4.46,1,1.0,0
Aaron Anderson,Female,Tiv,UI,Corporate,Senior,4.41,2,4.6,0
Nancy Baker MD,Male,Ijaw,Babcock,Intellectual Property,Junior,4.51,0,8.0,1
Mercedes Bradford,Male,Fulani,Covenant,Corporate,Mid-level,3.42,1,5.3,0
Susan Peterson,Male,Other,Babcock,Intellectual Property,Mid-level,4.17,1,2.6,0
Lauren Stewart,Male,Yoruba,UNILAG,Family,Senior,4.21,0,8.0,1
Mrs. Courtney Lynch,Female,Tiv,LASU,Criminal,Junior,4.54,1,9.8,1
Molly Allen,Male,Tiv,UNILAG,Family,Senior,4.05,0,3.3,0
Derek Ford,Female,Tiv,ABU Zaria,Tax,Senior,3.27,3,3.7,0
Eileen Hughes,Male,Tiv,UNIBEN,Corporate,Senior,4.1,0,8.4,1
Christopher Gardner,Female,Fulani,Other,Intellectual Property,Mid-level,3.95,2,4.4,0
Wayne Murray,Female,Other,UI,Tax,Junior,3.41,1,7.9,0
Michael Simon,Female,Ijaw,UNILAG,Criminal,Mid-level,3.07,0,3.6,0
David Lin,Female,Other,UI,Corporate,Junior,4.1,1,1.8,0
Brandon Patterson,Male,Yoruba,LASU,Intellectual Property,Mid-level,4.35,1,1.2,0
Erika Rios,Female,Hausa,Covenant,Human Rights,Senior,3.61,3,7.7,1
Richard Ellis,Male,Ijaw,LASU,Family,Senior,4.1,1,1.5,0
Timothy Grant,Female,Ijaw,Babcock,Family,Mid-level,3.59,0,7.6,0
Judy Hernandez,Male,Other,UNILAG,Tax,Junior,4.14,0,5.5,0
Megan Curtis,Female,Tiv,UNILAG,Criminal,Senior,3.84,0,2.4,0
Michelle Miller,Female,Tiv,Covenant,Tax,Junior,3.72,0,5.8,0
Michele Allison,Female,Tiv,Covenant,Family,Junior,4.16,0,1.2,0
Mathew Munoz,Female,Other,UNN,Corporate,Mid-level,3.71,1,5.4,0
Connor Williams,Female,Other,UI,Criminal,Mid-level,3.29,2,9.5,1
Joseph Bauer,Female,Other,UI,Criminal,Senior,3.21,2,8.0,0
Jason Maldonado,Male,Hausa,UNILAG,Intellectual Property,Mid-level,3.95,0,5.0,0
Valerie Santos,Female,Hausa,UNIBEN,Tax,Junior,4.44,1,1.7,0
Anna Mason,Male,Other,LASU,Intellectual Property,Junior,3.19,1,2.6,0
Samantha Green,Male,Yoruba,Covenant,Human Rights,Senior,3.9,1,3.6,0
Robert Parks,Female,Ijaw,Other,Intellectual Property,Mid-level,4.36,2,6.9,0
Christopher Cook,Male,Tiv,UNN,Corporate,Senior,4.47,1,7.4,0
Dr. Anna Murphy,Male,Other,UNN,Human Rights,Junior,3.26,1,4.8,0
Taylor Manning,Female,Other,UNIBEN,Criminal,Mid-level,4.18,1,7.6,0
William Warren,Female,Other,Babcock,Tax,Junior,4.41,2,7.5,1
Bryan Taylor,Male,Ijaw,ABU Zaria,Human Rights,Junior,2.98,0,5.8,0
Todd Brooks,Male,Fulani,UNN,Human Rights,Senior,4.77,1,1.4,0
Zachary Jones,Male,Fulani,Other,Family,Senior,4.44,0,9.2,1
Mary Thornton,Female,Fulani,LASU,Intellectual Property,Junior,4.35,1,9.2,1
Claire Smith,Male,Tiv,UNIBEN,Intellectual Property,Senior,4.85,3,6.3,0
Douglas Stewart,Male,Other,Covenant,Intellectual Property,Mid-level,3.45,1,6.9,0
Guy Lee,Female,Igbo,Covenant,Human Rights,Junior,3.74,0,5.0,0
Todd Phillips,Male,Ijaw,UNIBEN,Criminal,Junior,4.34,1,1.2,0
Amanda Bell,Male,Ijaw,Covenant,Tax,Junior,3.35,2,3.0,0
Stephanie Bush,Male,Yoruba,Babcock,Human Rights,Senior,3.88,1,3.9,0
Elizabeth Yoder,Male,Fulani,ABU Zaria,Criminal,Senior,3.77,0,2.4,0
Lisa Gardner,Female,Tiv,Other,Corporate,Mid-level,3.59,1,1.5,0
Richard Carlson,Female,Yoruba,Covenant,Tax,Junior,3.73,2,4.8,0
Catherine Garcia,Male,Hausa,ABU Zaria,Human Rights,Senior,4.42,0,6.3,0
Robert Romero,Female,Fulani,Other,Family,Mid-level,4.05,0,3.7,0
Johnny Holland,Female,Fulani,ABU Zaria,Human Rights,Senior,4.01,3,3.3,0
Kim Mooney,Male,Ijaw,LASU,Criminal,Senior,2.95,1,2.7,0
Karen Austin,Female,Igbo,Covenant,Human Rights,Mid-level,4.11,0,1.6,0
Timothy Mcbride,Female,Fulani,UNIBEN,Family,Mid-level,3.99,0,3.5,0
Kayla Curtis,Female,Yoruba,UI,Family,Senior,3.71,0,7.7,0
Jimmy Estrada,Male,Other,UNIBEN,Criminal,Mid-level,3.85,1,4.7,0
Kari Nelson,Male,Ijaw,ABU Zaria,Criminal,Senior,4.62,4,1.4,0
Michael Jacobson,Female,Fulani,LASU,Criminal,Mid-level,4.29,3,8.4,1
Barbara Crosby,Male,Yoruba,UNN,Family,Mid-level,4.34,0,4.6,0
Veronica Jackson,Female,Tiv,UNIBEN,Tax,Junior,3.76,1,6.2,0
Rita Gentry,Male,Other,UNILAG,Criminal,Senior,3.78,0,9.9,1
Ashley Black,Female,Hausa,Babcock,Intellectual Property,Senior,3.96,1,6.9,0
Robert Castillo,Female,Igbo,UNILAG,Tax,Mid-level,4.08,1,2.3,0
Kristina Barry,Male,Igbo,UNN,Corporate,Senior,3.78,0,1.5,0
David Garcia,Male,Fulani,Other,Corporate,Senior,3.57,1,8.4,1
Alexander Gay,Male,Fulani,UI,Intellectual Property,Senior,3.13,1,7.3,0
Tina Moore,Female,Hausa,UNN,Family,Junior,4.22,1,1.2,0
Rebecca Quinn,Female,Yoruba,UNILAG,Corporate,Junior,4.28,0,7.0,0
Denise Jimenez,Male,Fulani,Babcock,Family,Senior,4.14,1,1.7,0
Jessica Edwards,Male,Yoruba,UI,Tax,Junior,3.65,0,2.6,0
Anthony Hoover,Male,Other,Other,Family,Mid-level,4.1,1,8.8,1
Theresa Rose,Male,Hausa,UNIBEN,Criminal,Junior,4.73,0,4.7,0
Corey Johnson,Male,Igbo,Other,Family,Junior,4.13,0,3.2,0
Brian Green,Female,Yoruba,UNILAG,Tax,Senior,4.64,0,9.5,1
Stephanie Woodard,Female,Tiv,UNIBEN,Human Rights,Junior,3.44,1,9.1,1
Gregory Duncan,Male,Ijaw,Other,Corporate,Junior,3.28,2,9.0,1
Brittany Carr,Male,Tiv,Other,Tax,Senior,3.52,1,9.1,1
John Myers,Female,Tiv,UI,Family,Senior,4.2,0,7.0,0
Jennifer Ford,Male,Fulani,UI,Intellectual Property,Mid-level,4.0,0,6.7,0
Kathryn Lewis,Male,Other,ABU Zaria,Human Rights,Senior,4.58,1,2.9,0
Mary Dudley,Female,Ijaw,UI,Intellectual Property,Junior,4.79,3,9.5,1
Amanda Weber,Male,Yoruba,ABU Zaria,Criminal,Senior,3.94,0,2.4,0
Shawn Benjamin,Male,Hausa,LASU,Corporate,Senior,4.11,2,6.3,0
Derek Green,Male,Other,UI,Intellectual Property,Junior,3.7,1,4.8,0
Kathy Petty,Male,Other,UI,Human Rights,Junior,3.67,2,6.5,0
Sergio Stewart,Male,Ijaw,Other,Criminal,Junior,3.92,0,1.5,0
Julie Williams,Male,Ijaw,UNIBEN,Human Rights,Mid-level,4.13,0,1.8,0
Molly Smith,Female,Igbo,UNN,Corporate,Senior,3.22,2,5.3,0
Lauren Harris,Female,Fulani,UNIBEN,Criminal,Junior,4.19,1,2.8,0
David Rangel,Female,Fulani,UI,Human Rights,Mid-level,3.87,0,7.2,0
Jeffrey Hughes,Male,Other,Babcock,Intellectual Property,Senior,4.81,4,6.8,1
Justin Mcbride,Male,Igbo,UNIBEN,Human Rights,Junior,3.54,0,6.2,0
Jason Peterson,Female,Tiv,UNILAG,Family,Senior,4.44,0,6.8,0
Micheal Lopez,Female,Yoruba,ABU Zaria,Corporate,Junior,3.96,2,5.9,0
Mr. James Santos MD,Female,Other,UNIBEN,Criminal,Junior,4.72,4,8.7,1
Steven Garcia,Female,Other,Babcock,Intellectual Property,Junior,4.14,2,3.9,0
Deborah Miller,Male,Hausa,UNN,Tax,Senior,3.34,1,7.5,0
Steven Lane,Male,Fulani,LASU,Tax,Junior,4.17,0,5.2,0
Nicole Henry,Male,Ijaw,UNN,Intellectual Property,Mid-level,4.76,0,3.4,0
Eric Mason,Male,Yoruba,UNIBEN,Family,Mid-level,4.39,0,6.2,0
Michele Rodriguez,Male,Igbo,UNN,Corporate,Mid-level,4.07,0,7.5,0
Lisa Mccormick,Male,Hausa,UNILAG,Tax,Mid-level,2.83,2,6.6,0
Derek Curtis,Male,Yoruba,ABU Zaria,Family,Junior,4.47,0,6.7,0
Sarah Ellis,Female,Yoruba,UI,Family,Senior,3.69,1,2.7,0
Jessica Olson,Male,Other,UNILAG,Human Rights,Senior,3.5,2,9.9,1
Linda Bond,Male,Igbo,UI,Intellectual Property,Senior,3.75,1,9.1,1
James Mathews,Female,Tiv,Babcock,Tax,Junior,3.18,3,2.7,0
Mackenzie Williams,Male,Igbo,UNILAG,Criminal,Junior,3.91,1,9.4,1
Justin James,Female,Ijaw,UNN,Corporate,Mid-level,4.31,2,3.7,0
Michael Rodriguez,Female,Hausa,UI,Criminal,Senior,3.7,2,6.2,0
Jessica Gonzalez,Male,Tiv,UI,Corporate,Senior,4.38,1,5.5,0
Alisha Larson,Male,Tiv,UNIBEN,Tax,Senior,3.95,1,8.0,0
Cheryl Raymond,Female,Other,LASU,Tax,Mid-level,3.95,2,3.3,0
Edward Ford DVM,Female,Fulani,UNILAG,Family,Mid-level,3.91,1,7.3,0
Roberta Stewart,Male,Hausa,UNN,Criminal,Mid-level,4.16,1,4.3,0
Courtney Wolfe,Female,Hausa,UNIBEN,Intellectual Property,Mid-level,3.6,1,5.5,0
Sydney Gray,Male,Fulani,UNILAG,Criminal,Junior,3.0,4,6.1,0
Judy Livingston,Female,Hausa,LASU,Human Rights,Junior,3.77,1,7.1,0
Melanie Vargas,Female,Other,Other,Corporate,Senior,3.1,1,7.3,0
Jonathan Jones,Female,Fulani,Babcock,Intellectual Property,Junior,3.82,0,4.2,0
Jennifer Garcia,Female,Yoruba,Babcock,Tax,Mid-level,4.72,1,7.3,1
Marcia Lang,Male,Other,UNILAG,Human Rights,Mid-level,4.22,3,2.3,0
Justin Ruiz,Male,Igbo,UNIBEN,Family,Senior,3.67,1,8.2,1
Scott Miller,Female,Fulani,Other,Intellectual Property,Junior,4.83,2,5.8,0
Wesley Davis,Male,Hausa,Other,Corporate,Senior,3.01,0,9.2,1
Frank Anderson,Male,Tiv,UNIBEN,Criminal,Mid-level,3.09,1,2.9,0
Christopher Perry,Female,Igbo,UNIBEN,Corporate,Mid-level,4.15,2,1.6,0
Mark Neal,Female,Hausa,UNILAG,Tax,Mid-level,3.82,2,5.3,0
David Flores,Male,Tiv,Babcock,Corporate,Junior,3.68,0,7.5,0
Timothy Bradley,Female,Hausa,Babcock,Family,Senior,4.71,2,5.7,0
Craig Mendez,Female,Yoruba,UNIBEN,Intellectual Property,Junior,4.22,2,5.0,0
Alexis Coleman,Female,Tiv,UI,Intellectual Property,Mid-level,3.93,1,1.7,0
Gary Patel,Male,Ijaw,Babcock,Criminal,Senior,4.39,2,8.1,1
Joshua Moreno,Female,Other,UNN,Family,Mid-level,4.23,1,3.8,0
Nicole Chapman,Male,Hausa,ABU Zaria,Criminal,Senior,5.11,0,7.8,1
Hailey Doyle,Female,Fulani,Other,Human Rights,Mid-level,3.12,0,5.9,0
Jose Diaz,Male,Ijaw,UNIBEN,Human Rights,Mid-level,4.68,0,1.4,0
Desiree Mccoy,Female,Tiv,LASU,Family,Senior,2.51,1,9.7,0
Edward Goodwin,Male,Tiv,UI,Human Rights,Senior,4.29,0,4.6,0
Ashley Barron,Female,Fulani,UNN,Corporate,Senior,3.68,2,3.0,0
Nicholas Barnes,Female,Hausa,UNN,Human Rights,Mid-level,3.92,2,1.8,0
Bryan Sanford,Female,Hausa,UNIBEN,Tax,Mid-level,3.97,0,7.6,0
Dakota Zamora,Male,Ijaw,UNN,Family,Senior,3.04,0,5.3,0
Jeremy Hawkins,Female,Tiv,Babcock,Human Rights,Senior,3.53,1,9.5,1
Miss Tina Gilbert,Female,Igbo,UNILAG,Intellectual Property,Junior,3.98,2,5.5,0
Pamela Page,Female,Tiv,UI,Tax,Mid-level,4.06,1,4.9,0
Joshua Jackson,Male,Tiv,LASU,Tax,Junior,3.93,2,5.1,0
Scott Weiss,Female,Hausa,ABU Zaria,Family,Junior,3.69,2,7.7,0
Theresa Taylor,Male,Tiv,LASU,Intellectual Property,Mid-level,3.83,2,7.5,0
James Lin,Female,Yoruba,Covenant,Corporate,Mid-level,4.21,0,3.5,0
Austin Garrison,Female,Other,LASU,Tax,Junior,3.5,1,2.2,0
Paul Malone,Female,Fulani,ABU Zaria,Intellectual Property,Senior,4.75,1,4.6,0
Jessica Anderson,Male,Other,Covenant,Tax,Junior,4.15,2,4.5,0
Brad Patrick,Male,Igbo,Other,Intellectual Property,Junior,3.89,0,2.5,0
Mary Hogan,Female,Other,UNN,Family,Mid-level,3.8,2,6.3,0
Vicki Krause MD,Female,Tiv,UI,Family,Junior,4.14,3,1.0,0
Amanda Ray,Female,Fulani,UNN,Corporate,Senior,4.02,1,9.7,1
Michael Wyatt,Female,Tiv,Covenant,Family,Senior,5.36,1,6.1,0
Gwendolyn Olson,Female,Igbo,Babcock,Tax,Junior,4.86,0,8.1,1
Michelle Pineda,Male,Tiv,ABU Zaria,Intellectual Property,Junior,3.28,0,6.0,0
Jonathan Harris,Male,Fulani,Covenant,Corporate,Senior,3.55,1,3.9,0
Marisa Harris,Female,Yoruba,UI,Corporate,Junior,4.91,0,6.5,0
Steve Howard,Male,Igbo,UI,Intellectual Property,Junior,4.91,1,1.3,0
Deborah Ward,Female,Tiv,UNIBEN,Tax,Junior,3.36,0,5.0,0
Shirley Potts,Female,Hausa,Covenant,Criminal,Senior,4.84,0,5.5,0
Austin Lee,Male,Igbo,Other,Family,Mid-level,3.02,2,2.9,0
William Cantu,Male,Ijaw,UI,Intellectual Property,Senior,4.52,1,9.3,1
Cesar Mccormick,Female,Igbo,LASU,Tax,Mid-level,3.9,1,3.1,0
Russell Byrd,Male,Other,UI,Tax,Mid-level,3.65,2,8.1,1
Angela Wilson,Male,Other,UNILAG,Family,Mid-level,4.82,1,4.5,0
Susan Collins,Male,Yoruba,UNIBEN,Tax,Senior,4.05,0,7.0,0
Dale Thomas,Female,Ijaw,LASU,Corporate,Mid-level,4.16,1,3.2,0
Mario Ayala,Male,Igbo,Covenant,Criminal,Senior,3.77,1,6.1,0
Jay Jones,Female,Hausa,Covenant,Family,Senior,3.82,0,4.1,0
Susan Hayes,Male,Tiv,UNILAG,Criminal,Mid-level,3.41,1,7.4,0
Lisa Smith,Female,Other,UNN,Human Rights,Senior,3.74,1,4.9,0
Jenny Baker,Male,Yoruba,ABU Zaria,Criminal,Mid-level,4.22,3,3.0,0
Carrie Conway,Female,Hausa,Other,Family,Junior,3.13,2,8.8,1
Jeffrey Spence,Female,Yoruba,LASU,Tax,Junior,3.39,2,7.9,0
Jason Kelly,Female,Other,ABU Zaria,Criminal,Mid-level,4.16,0,7.5,0
Kelly Anderson,Female,Fulani,ABU Zaria,Intellectual Property,Mid-level,4.13,1,7.2,0
Paul Berry,Male,Tiv,ABU Zaria,Tax,Junior,4.1,0,1.6,0
Alexander Frye,Female,Other,ABU Zaria,Intellectual Property,Mid-level,3.9,0,2.0,0
Nicole Scott,Female,Igbo,UI,Intellectual Property,Mid-level,4.93,0,7.7,1
David Stone,Female,Ijaw,LASU,Human Rights,Mid-level,3.6,0,9.6,1
Melinda Schultz,Male,Yoruba,Babcock,Criminal,Junior,4.2,0,7.9,1
Michael Harrison,Male,Igbo,LASU,Human Rights,Junior,3.7,2,6.9,0
Cheryl Villanueva,Male,Igbo,UNILAG,Intellectual Property,Mid-level,4.05,4,9.4,1
Steven Nicholson,Female,Hausa,Covenant,Human Rights,Junior,3.47,1,4.1,0
Shane Garcia,Female,Tiv,UNN,Criminal,Senior,3.25,0,5.9,0
Kimberly Floyd,Female,Yoruba,Covenant,Corporate,Senior,3.74,0,8.6,1
Betty Kelly,Male,Ijaw,ABU Zaria,Human Rights,Senior,4.21,1,1.0,0
David Davis,Male,Igbo,UNIBEN,Intellectual Property,Mid-level,3.25,2,3.4,0
Mary Browning,Female,Yoruba,ABU Zaria,Tax,Junior,4.11,0,7.9,0
Troy Peterson,Female,Ijaw,Covenant,Family,Mid-level,4.12,1,8.4,1
Steven Williamson,Female,Yoruba,LASU,Human Rights,Junior,4.72,4,6.6,0
Jessica Taylor,Male,Yoruba,LASU,Intellectual Property,Senior,4.43,1,9.9,1
Elizabeth Fox,Male,Igbo,UI,Tax,Mid-level,3.56,0,3.6,0
Diana Waters,Male,Other,UNIBEN,Intellectual Property,Junior,3.63,1,3.3,0
Julie Martinez,Male,Fulani,UNIBEN,Intellectual Property,Junior,4.38,0,7.6,0
Caitlin Mack,Female,Fulani,LASU,Human Rights,Junior,4.7,0,3.7,0
Melissa Greer,Male,Tiv,Babcock,Human Rights,Junior,3.73,0,9.7,1
Wendy Walker,Male,Yoruba,UNIBEN,Corporate,Junior,4.25,0,2.1,0
Betty Baker,Male,Tiv,UI,Tax,Senior,4.37,1,6.4,0
Ronald Mercado,Female,Fulani,UNN,Human Rights,Junior,3.82,2,5.8,0
Kevin Mcmillan,Female,Tiv,Covenant,Intellectual Property,Mid-level,4.39,2,1.3,0
Christopher Avery,Male,Ijaw,Covenant,Tax,Mid-level,3.6,2,1.3,0
Jasmine Gonzalez,Female,Hausa,UI,Corporate,Mid-level,3.23,1,2.8,0
Angela Montgomery,Female,Hausa,UNILAG,Corporate,Senior,2.84,1,2.7,0
Wendy Gonzalez,Male,Igbo,Other,Human Rights,Mid-level,4.15,2,5.4,0
Diana Scott,Male,Other,UI,Family,Mid-level,3.54,2,1.6,0
Jennifer Casey,Female,Other,UNILAG,Criminal,Mid-level,3.97,0,9.8,1
John Thompson,Male,Hausa,Covenant,Human Rights,Mid-level,3.84,0,2.1,0
Tyler Smith,Male,Fulani,Babcock,Intellectual Property,Senior,5.17,1,4.6,0
Crystal Reed,Male,Fulani,Babcock,Intellectual Property,Mid-level,3.59,1,6.3,0
Heidi Lewis,Female,Igbo,Covenant,Tax,Senior,4.94,1,2.6,0
Jessica Lee,Female,Ijaw,Other,Tax,Mid-level,4.03,2,5.0,0
John Bishop,Female,Yoruba,UNILAG,Tax,Senior,4.24,0,2.3,0
Carrie Williamson,Female,Fulani,UNIBEN,Corporate,Junior,4.52,2,2.3,0
Meagan Miller,Female,Tiv,Covenant,Criminal,Junior,3.63,0,7.2,0
Lisa Payne,Male,Ijaw,ABU Zaria,Intellectual Property,Mid-level,3.81,3,2.2,0
Jonathan Kirby,Female,Hausa,UNILAG,Corporate,Senior,4.27,4,3.4,0
Antonio Henry,Female,Igbo,Babcock,Corporate,Senior,4.11,2,8.8,1
Christopher Maldonado,Male,Ijaw,UI,Family,Mid-level,4.52,0,7.6,1
Caitlin Johnson,Male,Yoruba,Babcock,Corporate,Senior,4.42,1,10.0,1
Barbara Meadows,Female,Fulani,UNIBEN,Corporate,Junior,4.05,0,7.3,0
Robert Greer,Male,Fulani,Other,Corporate,Junior,4.63,1,3.5,0
Timothy Hoffman,Male,Ijaw,ABU Zaria,Corporate,Senior,4.09,0,6.9,0
Brandon Li,Male,Hausa,LASU,Family,Senior,4.4,0,2.9,0
Heather Klein,Male,Tiv,ABU Zaria,Family,Junior,4.52,0,4.3,0
Victor Cook,Female,Yoruba,Other,Human Rights,Mid-level,4.88,1,2.2,0
Sierra Gonzalez,Male,Hausa,UI,Criminal,Junior,4.27,1,5.6,0
Lori Poole,Male,Igbo,UI,Tax,Junior,3.89,0,7.4,0
Ralph Lee,Male,Yoruba,Covenant,Human Rights,Junior,4.14,0,9.2,1
Justin Miller,Male,Hausa,UI,Criminal,Mid-level,3.34,3,9.3,1
Anthony Smith,Male,Fulani,Other,Tax,Mid-level,3.22,0,6.7,0
Scott Miller,Male,Fulani,UNILAG,Human Rights,Mid-level,3.96,2,9.6,1
Michele Harris,Female,Other,UI,Corporate,Junior,3.24,2,7.8,0
Jaime Dixon,Male,Tiv,LASU,Family,Junior,4.17,0,9.9,1
Kelly Brown,Male,Igbo,UI,Tax,Senior,4.57,1,6.3,0
Susan Roberts,Female,Tiv,UNN,Tax,Senior,3.86,0,8.5,0
Jennifer Griffin,Female,Other,ABU Zaria,Criminal,Junior,3.94,0,3.1,0
Sara Thornton,Female,Tiv,UNIBEN,Family,Mid-level,4.02,0,2.4,0
John Gardner,Female,Igbo,UNN,Human Rights,Senior,3.83,2,7.0,0
Edwin Davis,Female,Yoruba,Babcock,Tax,Junior,3.69,1,7.9,0
Shirley Bell,Female,Other,LASU,Human Rights,Senior,2.63,0,5.1,0
Jacob Cameron,Male,Tiv,UNILAG,Intellectual Property,Mid-level,3.12,2,9.2,1
